Abundance|10E=167
Academy Researchers|10E=15
Adarkar Wastes|10E=587
Afflict|10E=14
Aggressive Urge|10E=7
Agonizing Memories|10E=13
Air Elemental (1)|10E=37
Air Elemental (2)|10E=47
Ambassador Laquatus|10E=115
Anaba Bodyguard (1)|10E=7
Anaba Bodyguard (2)|10E=19
Ancestor's Chosen (1)|10E=17
Ancestor's Chosen (2)|10E=30
Angel of Mercy (1)|10E=26
Angel of Mercy (2)|10E=249
Angel's Feather|10E=26
Angelic Blessing (1)|10E=10
Angelic Blessing (2)|10E=37
Angelic Chorus|10E=567
Angelic Wall (1)|10E=14
Angelic Wall (2)|10E=144
Arcane Teachings (1)|10E=34
Arcane Teachings (2)|10E=454
Arcanis the Omnipotent|10E=38
Ascendant Evincar (1)|10E=939
Ascendant Evincar (2)|10E=261
Assassinate|10E=14
Aura Graft|10E=19
Aura of Silence|10E=457
Avatar of Might (1)|10E=61
Avatar of Might (2)|10E=610
Aven Cloudchaser (1)|10E=12
Aven Cloudchaser (2)|10E=43
Aven Fisher (1)|10E=36
Aven Fisher (2)|10E=20
Aven Windreader (1)|10E=7
Aven Windreader (2)|10E=17
Ballista Squad|10E=12
Bandage|10E=30
Battlefield Forge|10E=315
Beacon of Destruction|10E=21
Beacon of Immortality|10E=1519
Beacon of Unrest|10E=57
Benalish Knight (1)|10E=31
Benalish Knight (2)|10E=10
Birds of Paradise (1)|10E=1017
Birds of Paradise (2)|10E=2478
Blanchwood Armor (1)|10E=204
Blanchwood Armor (2)|10E=20
Blaze|10E=16
Bloodfire Colossus|10E=36
Bloodrock Cyclops|10E=11
Bog Wraith (1)|10E=25
Bog Wraith (2)|10E=9
Bogardan Firefiend|10E=6
Boomerang|10E=32
Bottle Gnomes|10E=7
Brushland|10E=427
Cancel|10E=20
Canopy Spider (1)|10E=55
Canopy Spider (2)|10E=13
Caves of Koilos|10E=153
Cephalid Constable|10E=517
Chimeric Staff|10E=41
Cho-Manno, Revolutionary|10E=55
Chromatic Star|10E=20
Citanul Flute|10E=344
Civic Wayfinder|10E=19
Clone|10E=38
Cloud Elemental (1)|10E=3
Cloud Elemental (2)|10E=25
Cloud Sprite (1)|10E=115
Cloud Sprite (2)|10E=11
Coat of Arms (1)|10E=1550
Coat of Arms (2)|10E=3200
Colossus of Sardia (1)|10E=90
Colossus of Sardia (2)|10E=41
Commune with Nature|10E=6
Composite Golem|10E=43
Condemn|10E=35
Cone of Flame|10E=6
Consume Spirit|10E=15
Contaminated Bond (1)|10E=35
Contaminated Bond (2)|10E=19
Counsel of the Soratami|10E=9
Crafty Pathmage|10E=5
Craw Wurm|10E=7
Creeping Mold|10E=15
Crucible of Worlds|10E=2954
Cruel Edict|10E=22
Cryoclasm|10E=13
Deathmark|10E=12
Dehydration (1)|10E=5
Dehydration (2)|10E=49
Deluge|10E=31
Demolish|10E=2
Demon's Horn|10E=26
Demystify|10E=10
Denizen of the Deep|10E=29
Diabolic Tutor|10E=116
Discombobulate|10E=12
Distress|10E=14
Doomed Necromancer|10E=101
Doubling Cube|10E=2229
Dragon Roost (1)|10E=69
Dragon Roost (2)|10E=290
Dragon's Claw|10E=19
Dreamborn Muse|10E=389
Dross Crocodile|10E=14
